City,Date,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Max Apparent Temp (°C),Min Apparent Temp (°C),Mean Apparent Temp (°C),Sunrise,Sunset,Max Wind Speed (10m) (km/h),Max Wind Gusts (10m) (km/h),Dominant Wind Direction (°),Shortwave Radiation Sum (MJ/m²),PM10,PM2.5,NO,NO2,O3,SO2,CO,NH3,AQI
Islamabad,2024-03-09,20.6,10.0,15.3,17.5,7.1,12.7,2024-03-09T06:26,2024-03-09T18:11,19.9,37.4,329,19.47,87.82375,73.19916666666667,2.4741666666666666,40.37166666666666,84.86916666666669,5.9104166666666655,1354.0579166666666,38.51416666666666,4.583333333333333
Islamabad,2024-03-10,19.9,11.5,15.7,18.3,8.3,13.7,2024-03-10T06:24,2024-03-10T18:12,13.1,25.2,335,11.2,149.665,123.48500000000001,21.987083333333334,81.29833333333333,41.375416666666666,9.768749999999999,2752.066666666667,59.57124999999999,4.583333333333333
Islamabad,2024-03-11,22.6,13.7,18.6,20.9,11.4,17.0,2024-03-11T06:23,2024-03-11T18:13,9.5,19.4,56,13.62,157.87416666666664,125.36916666666667,50.49041666666667,80.20541666666668,36.654999999999994,20.737083333333334,3341.7545833333334,74.83458333333334,4.666666666666667
Islamabad,2024-03-12,22.5,11.6,18.1,21.1,9.2,16.3,2024-03-12T06:22,2024-03-12T18:13,13.6,27.4,321,19.3,110.97250000000003,87.19208333333336,34.50541666666667,69.1375,42.56166666666667,14.121249999999998,2629.6770833333335,59.3675,4.541666666666667
Islamabad,2024-03-13,18.8,12.6,15.9,16.8,11.1,14.2,2024-03-13T06:21,2024-03-13T18:14,17.9,33.5,111,8.42,113.63583333333328,94.17166666666667,41.33874999999998,71.38708333333332,15.045416666666666,17.80625,2920.071666666667,47.89333333333334,4.208333333333333
Islamabad,2024-03-14,20.4,11.6,14.9,20.9,10.4,14.0,2024-03-14T06:19,2024-03-14T18:15,14.0,25.9,355,19.59,66.33166666666666,54.79666666666665,9.340833333333334,51.63708333333333,60.05583333333333,14.663333333333332,1680.8904166666669,24.11666666666667,3.9583333333333335
Islamabad,2024-03-15,20.7,11.0,15.6,19.0,8.7,13.5,2024-03-15T06:18,2024-03-15T18:16,16.7,32.0,335,20.38,106.54541666666667,86.36625000000002,16.43958333333333,57.316250000000004,67.18916666666667,10.524999999999999,1997.1520833333334,48.90083333333334,4.333333333333333
Islamabad,2024-03-16,22.9,12.7,17.7,23.2,10.4,16.2,2024-03-16T06:17,2024-03-16T18:16,11.5,21.6,340,20.3,138.54500000000002,110.89125000000001,15.222916666666665,64.57541666666667,52.11041666666667,12.657500000000004,2173.5025,70.31750000000001,4.666666666666667
Islamabad,2024-03-17,23.0,11.9,18.3,21.2,9.0,16.2,2024-03-17T06:15,2024-03-17T18:17,15.7,29.9,332,18.03,107.46666666666665,84.03416666666668,12.597500000000004,55.84375000000002,49.06375,8.63,1861.6929166666669,55.647083333333335,4.541666666666667
Islamabad,2024-03-18,24.7,13.4,19.0,23.1,10.7,17.1,2024-03-18T06:14,2024-03-18T18:18,12.2,24.8,334,20.62,105.29291666666667,80.59750000000001,28.050416666666667,65.36791666666669,43.50791666666666,13.309583333333336,2322.5958333333333,66.63458333333334,4.291666666666667
Islamabad,2024-03-19,25.2,17.6,20.9,24.2,15.3,19.1,2024-03-19T06:13,2024-03-19T18:19,16.0,29.2,324,20.94,128.93708333333333,103.48708333333332,21.713333333333335,68.9025,46.63500000000001,11.060833333333335,2375.44375,59.31875,4.75
Islamabad,2024-03-20,27.8,14.9,21.8,28.2,12.3,20.5,2024-03-20T06:11,2024-03-20T18:19,12.0,18.7,2,20.51,141.26708333333337,111.3616666666667,45.68374999999998,99.63375,40.09583333333333,23.493749999999995,3489.732083333333,93.17583333333334,4.666666666666667
Islamabad,2024-03-21,24.0,16.3,21.0,22.3,15.5,19.7,2024-03-21T06:10,2024-03-21T18:20,16.0,30.2,72,6.55,132.27166666666665,100.68583333333332,76.19958333333334,82.35374999999999,18.46083333333333,21.796250000000004,3780.4054166666665,98.43124999999999,4.333333333333333
Islamabad,2024-03-22,23.3,13.2,18.2,23.6,12.8,17.9,2024-03-22T06:08,2024-03-22T18:21,10.7,21.2,50,16.91,98.65875,77.28375,30.00041666666667,79.98041666666667,50.71041666666667,14.269999999999998,2633.0145833333336,42.035833333333336,4.25
Islamabad,2024-03-23,25.4,13.8,19.7,24.7,12.0,18.5,2024-03-23T06:07,2024-03-23T18:22,13.3,27.0,341,19.45,59.788333333333334,49.35708333333333,10.339166666666666,41.86958333333333,64.08500000000001,6.559166666666667,1532.6337499999997,31.12125,3.7083333333333335
Islamabad,2024-03-24,26.5,15.7,20.9,26.3,14.6,20.1,2024-03-24T06:06,2024-03-24T18:22,14.7,28.8,339,20.47,79.21416666666666,63.77375000000001,14.503749999999998,55.08541666666665,63.2725,9.997083333333334,1808.5645833333328,53.70416666666666,4.208333333333333
Islamabad,2024-03-25,27.5,17.1,22.3,26.2,15.3,21.0,2024-03-25T06:04,2024-03-25T18:23,16.1,31.3,334,21.51,83.22250000000001,64.18249999999999,21.189583333333335,54.3025,43.08375,8.952499999999999,1981.4379166666665,53.69374999999999,4.333333333333333
Islamabad,2024-03-26,27.9,17.3,21.7,27.1,15.0,20.5,2024-03-26T06:03,2024-03-26T18:24,13.7,26.3,336,13.53,76.21875000000001,62.234583333333326,8.325,53.25166666666667,58.732916666666675,9.402916666666668,1619.9745833333336,38.91708333333333,4.083333333333333
Islamabad,2024-03-27,23.7,16.0,18.9,24.2,15.9,19.0,2024-03-27T06:02,2024-03-27T18:25,16.5,34.6,342,8.39,49.49708333333333,41.39,5.662083333333332,44.098333333333336,37.71125,7.597083333333331,1394.1125000000004,17.195000000000007,3.0833333333333335
Islamabad,2024-03-28,25.7,15.0,19.9,25.5,15.0,20.2,2024-03-28T06:00,2024-03-28T18:25,14.0,29.2,348,16.28,98.99541666666666,79.3475,57.118750000000006,66.49541666666667,36.54624999999999,18.71625,3035.78375,46.18416666666667,4.208333333333333
Islamabad,2024-03-29,24.8,16.3,20.5,26.7,13.4,20.4,2024-03-29T05:59,2024-03-29T18:26,28.2,48.6,62,16.98,53.581666666666656,41.38291666666667,26.22,46.487500000000004,42.46208333333334,12.703333333333333,1883.2479166666665,22.00583333333334,3.2916666666666665
Islamabad,2024-03-30,22.4,14.2,17.6,21.7,12.8,17.0,2024-03-30T05:58,2024-03-30T18:27,21.5,46.4,68,14.54,22.355,18.46833333333333,2.4483333333333333,33.74875,56.71625,8.590416666666668,1020.8299999999999,9.445,2.375
Islamabad,2024-03-31,22.0,11.2,16.6,21.9,10.3,16.0,2024-03-31T05:56,2024-03-31T18:28,14.6,31.7,328,22.22,50.83291666666667,41.425,5.116250000000001,41.96250000000001,67.97916666666669,12.60666666666667,1347.3820833333332,20.87625,3.4583333333333335
Islamabad,2024-04-01,25.1,14.1,19.3,24.1,12.7,17.9,2024-04-01T05:55,2024-04-01T18:28,16.4,31.3,329,22.9,80.8275,64.77374999999999,21.127916666666664,63.169166666666676,57.02333333333333,12.305,2156.535833333334,47.00541666666667,4.166666666666667
